Date,Open,High,Low,Close,Volume,Adj Close
2007-11-01,73.49,73.90,72.39,72.39,4960600,61.58
2007-10-31,74.04,74.30,72.85,73.72,4810900,62.72
2007-10-30,73.30,74.32,73.10,73.84,4961900,62.82
2007-10-29,72.49,73.87,72.17,73.70,5955000,62.70
2007-10-26,72.46,72.46,71.50,72.34,4133300,61.54
2007-10-25,72.00,72.37,71.62,71.98,4707800,61.23
2007-10-24,71.18,71.90,70.94,71.80,5084400,61.08
2007-10-23,71.27,71.58,70.71,71.53,4878200,60.85
2007-10-22,70.03,71.22,69.98,71.17,5464300,60.55
2007-10-19,71.60,71.85,70.35,70.40,7392900,59.89
2007-10-18,72.07,72.44,71.71,71.88,3426100,61.15
2007-10-17,72.02,72.79,71.61,72.11,4837700,61.35
2007-10-16,71.06,72.05,71.05,71.87,5704300,61.14
2007-10-15,71.65,71.97,70.79,71.35,7043100,60.70
2007-10-12,71.74,72.47,71.40,71.78,5750600,61.06
2007-10-11,73.80,74.10,70.82,71.77,12367700,61.06
2007-10-10,73.46,74.19,73.10,73.60,5326500,62.61
2007-10-09,73.40,73.69,72.93,73.21,7024100,62.28
2007-10-08,73.50,73.95,73.40,73.91,2371900,62.88
2007-10-05,74.14,74.19,73.24,73.74,5698200,62.73
2007-10-04,73.01,73.88,73.01,73.87,4463700,62.84
2007-10-03,73.60,73.70,73.20,73.47,5139100,62.50
2007-10-02,74.12,74.25,73.34,73.76,6144100,62.75
2007-10-01,73.54,74.24,73.50,74.01,7216500,62.96
2007-09-28,72.63,73.29,72.50,73.26,6706500,62.32
2007-09-27,72.30,72.85,72.23,72.62,5488400,61.78
2007-09-26,71.37,72.54,71.33,72.23,6429300,61.45
2007-09-25,70.85,71.73,70.75,71.22,5708000,60.59
